P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5)
0.009560606562139874,0.00956057302382807,0.009560558034780871,0.009560496891070781,0.9617577654881804
0.010302566267966001,0.010302649570389774,0.010302604436657953,0.010302402694609495,0.9587897770303768
0.011008978752120958,0.011009031357783933,0.011008991320557823,0.011009140098119149,0.9559638584714181
0.009108161286808171,0.009107810443806612,0.009107808635598276,0.009108203495822238,0.9635680161379647
0.0079890602358247,0.007988831012517343,0.00798912381051215,0.00798906476784128,0.9680439201733045
0.009630659324085663,0.009630705945605823,0.00963082347742768,0.009630916229026672,0.9614768950238541
0.016203366479573433,0.01620381637051921,0.016203552982388174,0.016203825406223584,0.9351854387612956
0.008983849716272191,0.008983848720569815,0.008983860852593178,0.008983836162486382,0.9640646045480784
0.014205490954300458,0.014205028860290458,0.0142058188462786,0.014205194913639614,0.9431784664254909
0.009031627266020924,0.009031719815367453,0.00903159845396922,0.009031762941922638,0.9638732915227198
0.011308789059366603,0.011308660952821348,0.011309262187748729,0.01130881501222927,0.954764472787834
0.00928212523802805,0.009282077664907743,0.009282359385450505,0.009282252895054159,0.9628711848165595
0.01094763931593508,0.01094738314897045,0.010947712102158653,0.010947189026394017,0.9562100764065418
0.009849830912593097,0.009849859972261864,0.009849790081321433,0.009849947104004102,0.9606005719298195
0.011031763121609382,0.011031534653796323,0.011031536439067999,0.011031613695167976,0.9558735520903583
0.2,0.2,0.2,0.2,0.2
0.008356752559925497,0.008356742239837942,0.008356776006404866,0.008356751570180595,0.9665729776236511
0.011497509987270338,0.011497545592094585,0.011497641785267848,0.011497520074996772,0.9540097825603704
0.01053526275905693,0.010535239283794363,0.010535145948703969,0.010535386880385605,0.9578589651280591
0.009978226456637953,0.009978160265001533,0.009978359398084325,0.0099780559506272,0.960087197929649
0.009015459577062557,0.009015569217050651,0.009015657669282995,0.009015592171607708,0.963937721364996
0.009789820087144055,0.009789970013580838,0.009789918216176812,0.009789977540017853,0.9608403141430805
0.009258013480963148,0.009257810515967345,0.00925806120345421,0.009257988309510507,0.9629681264901049
0.009247491713778127,0.009247590640265011,0.009247718987550124,0.00924757759861195,0.9630096210597948
0.012603740813608549,0.01260349983017757,0.012604053577553792,0.01260343449791001,0.9495852712807501
0.01020921830832743,0.010209218268120128,0.010209216777438497,0.010209194969361712,0.9591631516767521
0.010640917574593841,0.010641050750125055,0.010640915678684247,0.010640930691946882,0.95743618530465
0.2,0.2,0.2,0.2,0.2
0.011612908518514192,0.01161256836577259,0.01161318504860016,0.011613124300681009,0.9535482137664321
0.009126503089891918,0.009126670331697211,0.009126916379413777,0.009126657392842106,0.963493252806155
0.009921975564344201,0.009922267901391031,0.009921892624405442,0.009922230974316151,0.9603116329355432
0.009291404591832355,0.00929161956918793,0.009291632998511889,0.009291269045576846,0.962834073794891
0.008813040004200752,0.008813088686559433,0.008813160365426146,0.008813111789386242,0.9647475991544274
0.008850472573509502,0.008850540912831687,0.008850429392827649,0.008850859427099938,0.9645976976937312
0.00941210593573356,0.009411730848342171,0.009412072187344906,0.009411792166001338,0.962352298862578
0.010213611939558444,0.010213706717759445,0.010213530449545738,0.0102134530885584,0.9591456978045779
0.2,0.2,0.2,0.2,0.2
0.009636937510315687,0.00963699428188054,0.009637127997832192,0.009637000166071476,0.9614519400439001
0.010648733615803483,0.010649080309701598,0.010648941856519089,0.010648759607092285,0.9574044846108837
0.009218705022560728,0.009218668125809671,0.009218658304646351,0.009218642519566927,0.9631253260274163
0.010780012781774567,0.010780226388412435,0.010780071747890568,0.010779851567994813,0.9568798375139276
0.00984261424066245,0.009842591775279843,0.009842797008960739,0.009842637753812366,0.9606293592212846
0.2,0.2,0.2,0.2,0.2
0.008594899080850444,0.008594908076213648,0.008595068319420782,0.008594826021150678,0.9656202985023644
0.010072928245331401,0.010073043867796479,0.010072751636569613,0.010073061684253462,0.959708214566049
0.00849373704882672,0.008493517479281142,0.00849358223155083,0.00849364975374273,0.9660255134865986
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.010200649943342192,0.010200525273171945,0.010200598235554035,0.01020050424440269,0.9591977223035292
0.2,0.2,0.2,0.2,0.2
0.010489383508161896,0.010489833223097097,0.01048951265156797,0.010489625186702493,0.9580416454304705
0.009269398849085201,0.009269533994634725,0.009269831960672928,0.009269492580454416,0.9629217426151527
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.009021470621396062,0.00902127363626655,0.009021355628209137,0.009021576644457418,0.9639143234696709
0.008948913495073967,0.008948823863824671,0.008948837018809826,0.008948891977830652,0.9642045336444609
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.01061721519724139,0.010617026350694902,0.010617020104257776,0.01061762549539361,0.9575311128524123
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.010609074915608798,0.010608684003521877,0.01060904281665173,0.010609085786152588,0.9575641124780649
0.2,0.2,0.2,0.2,0.2
0.007953090096299385,0.007953143596048165,0.007953225442636599,0.007953436039532257,0.9681871048254836
0.01203807981986916,0.012038329278366072,0.012038293574518712,0.012038215186651002,0.9518470821405951
0.012047852477749125,0.012047642104516058,0.012047026719366503,0.012047063837460818,0.9518104148609076
0.008834031932451558,0.008833892730767682,0.008833663934622128,0.00883385382948783,0.9646645575726708
0.010047309637441522,0.010047097770587212,0.010047069638393408,0.0100470576578885,0.9598114652956893
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.009901933030340107,0.009902118125647955,0.009901908847473556,0.009901928100855547,0.9603921118956829
0.007573438817310671,0.0075732981286050416,0.007573550076724556,0.007573180796785185,0.9697065321805746
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.010160499069549345,0.010160375338166073,0.010160672308871401,0.01016036520753017,0.9593580880758831
0.009431292837268734,0.009431232464531421,0.00943120792423591,0.009431013626775927,0.962275253147188
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.008717895838000774,0.008717711377255988,0.008718132626331185,0.008718034251258831,0.9651282259071533
0.010993416690032457,0.01099387610376063,0.010993687452604529,0.010993917929739177,0.9560251018238631
0.010457848118211833,0.010457804141966872,0.010457808295797575,0.010457969566415093,0.9581685698776086
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.008225729996089262,0.00822565553899968,0.00822588734527656,0.008225899686157053,0.9670968274334774
0.2,0.2,0.2,0.2,0.2
0.009921710789518978,0.009921686103230874,0.009921755713940413,0.009921670306635507,0.9603131770866743
0.2,0.2,0.2,0.2,0.2
0.009853992898085603,0.009854200551982741,0.0098541697872701,0.009854331855944826,0.9605833049067166
0.2,0.2,0.2,0.2,0.2
0.01031185992869071,0.010311650909372578,0.010311620062641448,0.010311807586011098,0.9587530615132842
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.009971067220060612,0.009971682361730391,0.009971368990864288,0.009971160491770041,0.9601147209355746
0.009288435975935087,0.00928860722505846,0.009288423468372435,0.009288589752506281,0.9628459435781277
0.2,0.2,0.2,0.2,0.2
0.007617735420567387,0.007617906305195726,0.0076178353115993955,0.007617814053442417,0.9695287089091951
0.01210409078375176,0.012104026144229051,0.012104111309734841,0.012104368454412656,0.9515834033078716
0.010884186081488405,0.010884055541461692,0.010884263640173586,0.010884109930359818,0.9564633848065165
0.2,0.2,0.2,0.2,0.2
0.007829414327319496,0.007829432560484772,0.007829439801294793,0.0078292730076483,0.9686824403032526
0.2,0.2,0.2,0.2,0.2
0.00886577355090395,0.00886583325860237,0.008865672381312816,0.008865883757288638,0.9645368370518922
0.2,0.2,0.2,0.2,0.2
0.008758639984509918,0.008758549332106966,0.008758737386305084,0.008758576008926199,0.964965497288152
0.01152918327889305,0.011529101993685797,0.011529245994528418,0.01152907808519614,0.9538833906476964
0.008524306623314697,0.008524287964912915,0.008524668921243764,0.008524403283887627,0.965902333206641
0.013921741212223839,0.013921877884023808,0.013921748619218528,0.013921940013795315,0.9443126922707386
0.008418669266337844,0.008418488362967864,0.00841868637856677,0.00841881370951676,0.9663253422826108
0.007845479834021512,0.007845631070528531,0.007845226416530805,0.007845382655851814,0.9686182800230674
0.2,0.2,0.2,0.2,0.2
0.01027371687386741,0.010273544032859298,0.010273822758386118,0.010273752477464412,0.9589051638574227
0.00957894897568433,0.009579307572918283,0.009579075904508228,0.009579056793964522,0.9616836107529246
0.00974683760187256,0.009746825275300576,0.00974697863288281,0.009746701812857205,0.9610126566770868
0.011294808529526182,0.011294784498415722,0.011295120894889512,0.011294896040350439,0.9548203900368183
0.011343369949224191,0.01134301451927509,0.01134291376438843,0.011343241741539724,0.9546274600255725
0.2,0.2,0.2,0.2,0.2
0.008365545951896808,0.00836564637767474,0.00836555460870134,0.008365779302708572,0.9665374737590187
0.01033974534248979,0.01033970959939378,0.010339509777660658,0.0103398313971201,0.9586412038833356
0.01174856558456469,0.011748430536816635,0.011748693669407154,0.01174859864220827,0.9530057115670032
0.010278903601271549,0.010278851228868362,0.01027891029319482,0.010278650606224661,0.9588846842704406
0.009203556176503936,0.009203500512372275,0.009203979108726085,0.009204007333730169,0.9631849568686676
0.2,0.2,0.2,0.2,0.2
0.008563507778063393,0.008563640302962592,0.008563717568440899,0.008563412947531168,0.965745721403002
0.0081152742647308,0.008115296715165176,0.008115181098945242,0.008115438564984936,0.9675388093561738
0.009164088248418713,0.009164170933878713,0.009164106609224731,0.009163996722554755,0.9633436374859231
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.009349577405825257,0.00934936303202351,0.009349555090853924,0.009349329923948543,0.9626021745473488
0.009263744839533615,0.009263517708055004,0.009263763107646957,0.009263611807703938,0.9629453625370605
0.007918959010248838,0.007919174702081064,0.007919093293003414,0.00791907837086017,0.9683236946238065
0.01166040193810404,0.011660839068515153,0.011660550788766828,0.011660350707353197,0.9533578574972608
0.2,0.2,0.2,0.2,0.2
0.00785952087515281,0.007859259043295793,0.007859628168621163,0.00785948386858232,0.9685621080443478
0.008914754255185705,0.008914757916796514,0.00891479069228687,0.008914759495618218,0.9643409376401126
0.008552416726359764,0.008552140891656608,0.008552275191337095,0.008552302824485462,0.9657908643661611
0.009451196804977581,0.00945112364418988,0.009451196901082499,0.009451237927603452,0.9621952447221466
0.2,0.2,0.2,0.2,0.2
